26	300	300	300	299	148	239	300	300	300	300	300	231	295	300	300	300	300	300	542	523	512	132	489	503	529	520	546	528
27	300	300	300	300	299	158	232	300	300	300	300	300	224	296	300	300	300	300	518	535	514	141	472	521	531	534	521	540
28	300	300	300	300	300	299	169	134	300	300	300	300	300	207	296	300	300	300	533	515	513	183	491	522	542	529	533	530
29	300	300	300	300	300	300	300	174	91	300	300	300	300	300	213	296	300	300	535	538	458	231	483	541	531	538	533	528
30	300	300	300	300	300	300	300	300	180	80	300	300	300	300	300	217	296	300	543	519	456	242	489	531	547	534	528	536
31	300	300	300	300	300	300	300	300	300	203	56	300	300	300	300	300	222	296	524	546	435	288	448	541	541	536	540	535
32	296	300	300	300	300	300	300	300	300	300	211	81	298	300	300	300	300	225	541	519	258	302	469	508	536	550	539	541
33	235	297	300	300	300	300	300	300	300	300	300	221	99	279	300	300	300	283	533	551	164	336	455	519	520	544	547	543
34	269	240	297	300	300	300	300	300	300	300	300	300	230	119	269	300	300	300	547	526	147	327	462	528	530	524	548	547
35	300	251	247	297	300	300	300	300	300	300	300	300	300	235	135	252	300	300	530	546	128	357	452	532	536	539	528	544
36	300	300	232	253	297	300	300	300	300	300	300	300	300	300	240	148	247	300	542	518	140	367	467	518	546	543	540	520
37	300	300	300	221	257	297	300	300	300	300	300	300	300	300	300	246	159	236	532	517	137	382	465	540	531	548	516	535
38	228	300	300	300	210	261	298	300	300	300	300	300	300	300	300	300	250	177	530	509	135	377	484	536	549	505	539	537
39	190	214	300	300	300	205	264	298	300	300	300	300	300	300	300	300	300	260	538	499	128	394	475	548	517	539	520	543
40	264	197	198	300	300	300	196	268	298	300	300	300	300	300	300	300	300	300	535	501	146	393	484	510	544	531	547	524
41	300	266	209	112	300	300	300	201	269	298	300	300	300	300	300	300	300	300	541	482	201	397	453	538	527	551	520	541
42	300	300	270	220	82	300	300	300	206	277	298	300	300	300	300	300	300	300	543	468	227	384	459	529	545	517	553	533
43	300	300	300	274	225	67	300	300	300	210	275	298	300	300	300	300	300	300	547	454	253	390	470	533	516	548	530	547
44	300	300	300	300	276	231	85	300	300	286	217	281	299	300	300	300	300	300	544	253	293	402	473	523	533	530	554	530
45	300	300	300	300	300	280	238	94	300	300	274	227	285	299	300	300	300	300	520	192	319	409	459	538	535	540	529	542
46	300	300	300	300	300	300	282	242	106	273	300	256	235	286	299	300	300	300	535	142	341	397	484	534	544	531	537	532
47	300	300	300	300	300	300	300	284	244	131	258	300	249	240	287	299	300	300	534	131	320	421	482	552	531	540	535	530
48	300	300	300	300	300	300	300	300	285	258	144	243	300	224	245	288	299	300	532	134	355	395	495	541	547	534	530	538
49	300	300	300	300	300	300	300	300	300	287	261	161	241	300	126	250	288	299	509	199	350	425	459	550	541	536	542	535
50	299	300	300	300	300	300	300	300	300	300	288	269	169	232	300	124	254	289	522	225	209	414	487	516	536	550	541	541
